Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
Chăm sóc gia đình,GT.5451.S.10A,"Gạo Thơm Lài, túi 10kg",kg," 13,000 ",AAN
Chăm sóc gia đình,GT.ANLANH.S.05A,"Gạo An Lành, túi 05kg",kg," 13,000 ",AAN
Chăm sóc gia đình,GT.ANLANH.S.10A,"Gạo An Lành, túi 10kg",kg," 13,000 ",AAN
Chăm sóc gia đình,GT.DT8.S.05B,"Gạo Đài Thơm, túi 05kg",kg," 20,000 ",AAN
Chăm sóc gia đình,GT.DT8.S.10A,"Gạo Đài Thơm, túi 10kg",kg," 14,000 ",AAN
Chăm sóc gia đình,GT.JAPO.S.05B,"Gạo Japonica, túi 05kg",kg," 22,000 ",AAN
Chăm sóc gia đình,GT.ST21.S.05D,"Gạo ST21, túi 05kg",kg," 24,000 ",AAN
Chăm sóc gia đình,GT.ST24.S.05C,"Gạo ST24, túi 05kg",kg," 33,000 ",AAN
Chăm sóc gia đình,GT.ST25.S.05C,"Gạo ST25, túi 05kg",kg," 33,000 ",AAN
Chăm sóc gia đình,GT.ST25T.S.05B,"Gạo ST25 lúa tôm, túi 05kg",kg," 40,000 ",AAN
Chăm sóc gia đình,A11,"Bột giặt nhiệt Aba 1,15kg",Gói," 46,000 ",ABA
Chăm sóc gia đình,A2,Bột giặt nhiệt Aba 2 kg,Gói," 78,000 ",ABA
Chăm sóc gia đình,A26,Bột giặt nhiệt Aba Junco 2.6kg,Gói," 114,000 ",ABA
Chăm sóc gia đình,A29,Bột giặt nhiệt Aba 2.9kg,Gói," 114,000 ",ABA
Chăm sóc gia đình,A291,Bột giặt nhiệt Aba 2.9kg (giặt máy),Gói," 109,000 ",ABA
Chăm sóc gia đình,A350,Bột giặt nhiệt Aba Nước Hoa 350gr,Gói," 17,000 ",ABA
Chăm sóc gia đình,A380,Bột giặt nhiệt Aba 380gr,Gói," 17,000 ",ABA
Chăm sóc gia đình,A4,Bột giặt nhiệt Aba Nước Hoa 4kg,Gói," 151,000 ",ABA
Chăm sóc gia đình,A43,"Bột giặt nhiệt Aba 4,3 kg",Gói," 151,000 ",ABA
Chăm sóc gia đình,A53,"Bột giặt nhiệt Aba Junco 5,3 kg",Gói," 201,000 ",ABA
Chăm sóc gia đình,A57,Bột giặt nhiệt Aba 5.7kg,Gói," 201,000 ",ABA
Chăm sóc gia đình,A700,Bột giặt nhiệt Aba Nước Hoa 700gr,Gói," 33,000 ",ABA
Chăm sóc gia đình,A770,Bột giặt nhiệt Aba 770gr,Gói," 33,000 ",ABA
Chăm sóc gia đình,AN19H,Nước giặt Aba Hồng 1.9kg,Túi," 87,000 ",ABA
Chăm sóc gia đình,AN19V,Nước giặt Aba Vàng 1.9kg,Túi," 87,000 ",ABA
Chăm sóc gia đình,AN27,Nước giặt Aba Matic 2.75L Đỏ ,Chai," 112,000 ",ABA
Chăm sóc gia đình,AN271,Nước giặt Aba Matic 2.75L Xanh ,Chai," 112,000 ",ABA
Chăm sóc gia đình,AN36,Nước giặt Aba Vàng 3.6kg,Túi," 146,000 ",ABA
Chăm sóc gia đình,AN36H,Nước giặt Aba Hồng 3.6kg,Túi," 146,000 ",ABA
Chăm sóc gia đình,BK2,Bột giặt Binky 2kg,Gói," 50,000 ",ABA
Chăm sóc gia đình,BK23,Nước giặt Binky Hồng 2.3L,Túi," 71,000 ",ABA
Chăm sóc gia đình,BK231,Nước giặt Binky Xanh 2.3L,Túi," 71,000 ",ABA
Chăm sóc gia đình,BK311,Nước giặt Binky 3.1L Hồng,Túi," 90,000 ",ABA
Chăm sóc gia đình,BK312,Nước giặt Binky 3.1L Xanh,Túi," 90,000 ",ABA
Chăm sóc gia đình,BK33H,Nước giặt Binky 3.3kg Hồng,Chai," 108,000 ",ABA
Chăm sóc gia đình,BK33X,Nước giặt Binky 3.3kg Xanh ,Chai," 108,000 ",ABA
Chăm sóc gia đình,BK43,Bột giặt Binky 4.3kg,Gói," 106,000 ",ABA
Chăm sóc gia đình,BK520,Bột giặt Binky 520g,Gói," 14,000 ",ABA
Chăm sóc gia đình,BK57,Bột giặt Binky 5.7kg,Gói," 136,000 ",ABA
Chăm sóc gia đình,EBNGH,Kem Biona Nghệ,Hộp," 14,000 ",ABA
Chăm sóc gia đình,EKEN,Kem bôi da Kentax 10%,Hộp," 9,000 ",ABA
Chăm sóc gia đình,ELOT,Keo lột E100 lớn,Hộp," 18,000 ",ABA
Chăm sóc gia đình,EMUN,Kem E100 Nghệ,Hộp," 14,000 ",ABA
Chăm sóc gia đình,ETOM,Kem bôi da Tomax,Hộp," 8,000 ",ABA
Chăm sóc gia đình,JUNC82,Nước xả vải Junco 800ml Xanh Dương,Chai," 48,000 ",ABA
Chăm sóc gia đình,JUNC83,Nước xả vải Junco 800ml Đen,Chai," 48,000 ",ABA
Chăm sóc gia đình,JUNT4,Nước xả vải Junco Hồng 800ml,Túi," 42,000 ",ABA
Chăm sóc gia đình,KDR1,Kem đánh răng Doreen Trà xanh 200gr,Hộp," 23,000 ",ABA
Chăm sóc gia đình,KDR7,Kem đánh răng Doreen Xanh Ngọc 200gr,Tuýp," 16,000 ",ABA
Chăm sóc gia đình,KDR8,Kem đánh răng Doreen Tinh thể Băng 180g ,Tuýp," 23,000 ",ABA
Chăm sóc gia đình,RC1,Nước rửa chén Campax Chanh 400ml,Chai," 11,000 ",ABA
Chăm sóc gia đình,RC3,Nước rửa chén Campax Chanh 750ml,Chai," 20,000 ",ABA
Chăm sóc cá nhân,3921018,bio-essence sữa rửa mặt gold 100g,Tuýp," 136,000 ",BIOESSENCE
Chăm sóc cá nhân,3921020,bio-essence sữa rửa mặt da dau 100g ,Tuýp," 145,000 ",BIOESSENCE
Chăm sóc cá nhân,3921021,bio-essence sữa rửa mặt da kho thuong 100g,Tuýp," 145,000 ",BIOESSENCE
Chăm sóc cá nhân,3921022,bio-essence gel tẩy tế tế bào lão hóa 60g,Tuýp," 258,000 ",BIOESSENCE
Chăm sóc cá nhân,3921024,bio-essence bird’s sữa rửa mặt nest collagen 100g,Tuýp," 142,000 ",BIOESSENCE
Chăm sóc cá nhân,3921026,bio-essence water b5 foamy cleanser 100g,Tuýp," 136,000 ",BIOESSENCE
Chăm sóc cá nhân,3921028,bio-essence sữa rửa mặt -white pro whitening 100g,Tuýp," 146,000 ",BIOESSENCE
Chăm sóc cá nhân,3937011,bio-essence tinh chất trẻ hoa renew 40ml,Chai," 449,000 ",BIOESSENCE
Chăm sóc cá nhân,3937012,bio-essence tinh chất bird’s nest collagen essence 30g,Chai," 357,500 ",BIOESSENCE
Chăm sóc cá nhân,3937013,bio-essence water tinh chất vitamin b5 30ml,Chai," 528,000 ",BIOESSENCE
Chăm sóc cá nhân,3937016,bio-essence tinh chất gold double serum 36g,Chai," 539,000 ",BIOESSENCE
Chăm sóc cá nhân,3937017,bio-essence tinh chất -white pro whitening 30ml,Tuýp," 570,000 ",BIOESSENCE
Chăm sóc cá nhân,3938007,bio-essence nước dưỡng gold 150ml,Chai," 391,000 ",BIOESSENCE
Chăm sóc cá nhân,3938010,bio-essence nước hoa hong renew 100ml ,Chai," 270,500 ",BIOESSENCE
Chăm sóc cá nhân,3938011,bio-essence nước khoang dưỡng da water 300ml,Chai," 320,500 ",BIOESSENCE
Chăm sóc cá nhân,3938012,bio-essence nước khoang dưỡng da water 100ml,Chai," 150,500 ",BIOESSENCE
Chăm sóc cá nhân,3938014,bio-essence nước tay trắng water 100ml,Chai," 87,500 ",BIOESSENCE
Chăm sóc cá nhân,3938015,bio-essence nước tay trắng water 400ml,Chai," 233,500 ",BIOESSENCE
Chăm sóc cá nhân,3938017,bio-essence nước can bang bird's nest,Chai," 366,800 ",BIOESSENCE
Chăm sóc cá nhân,3939015,bio-essence kem ngay gold 40g,Hủ," 456,000 ",BIOESSENCE
Chăm sóc cá nhân,3939016,bio-essence kem dem gold 40g,Hủ," 456,000 ",BIOESSENCE
Chăm sóc cá nhân,3939021,bio-essence kem nâng cơ vlift flc brighteng 45g,Hủ," 457,000 ",BIOESSENCE
Chăm sóc cá nhân,3939022,bio-essence kem ngày bird nest collagen 50g,Hủ," 374,500 ",BIOESSENCE
Chăm sóc cá nhân,3939023,bio-essence kem dưỡng am water 50g,Hủ," 368,000 ",BIOESSENCE
Chăm sóc cá nhân,3939024,bio-essence kem ngay -white pro whitening 50g,Hủ," 431,000 ",BIOESSENCE
Chăm sóc cá nhân,3939025,bio-essence kem dem -white pro whitening 50g,Tuýp," 431,000 ",BIOESSENCE
Chăm sóc cá nhân,3939026,bio-essence kem tri nam -white pro whitening 25g,Tuýp," 359,000 ",BIOESSENCE
Chăm sóc cá nhân,3939027,bio-essence chong nắng -white pro whitening 40g,Tuýp," 199,000 ",BIOESSENCE
Chăm sóc cá nhân,3940005,bio-essence mặt nạ dưỡng am 20ml,Miếng," 24,500 ",BIOESSENCE
Chăm sóc cá nhân,3940006,bio-essence mặt nạ dưỡng trắng 20ml,Miếng," 24,500 ",BIOESSENCE
Chăm sóc cá nhân,3940007,bio-essence mặt nạ dưỡng trẻ hoa 20ml,Miếng," 24,500 ",BIOESSENCE
Chăm sóc cá nhân,3940011,bio-essence mặt nạ ngủ nest collagen 50g,Hủ," 374,500 ",BIOESSENCE
Chăm sóc cá nhân,3940013,bio-essence trẻasure mặt nạ rau má 20ml ,Miếng," 32,000 ",BIOESSENCE
Chăm sóc cá nhân,3940015,bio-essence trẻasure mặt nạ vitamin c 20ml ,Miếng," 32,000 ",BIOESSENCE
Chăm sóc cá nhân,3940016,bio-essence mặt nạ cap am water b5 20ml,Miếng," 25,000 ",BIOESSENCE
Chăm sóc cá nhân,3941003,bio-essence kem chong nắng water 40ml ,Chai," 179,000 ",BIOESSENCE
Chăm sóc gia đình,08CF00451,Cà phê Wake up Sài Gòn 24gói x 19gr,Bịch," 35,000 ",MASSAN
Chăm sóc gia đình,08CF00456,Cà phê VCF 3in1 Gold Original 24gói x 20gr,Bịch," 57,000 ",MASSAN
Chăm sóc gia đình,09NC00096,Sữa hạt ngũ cốc B'fast 20gói x 25gr,Bịch," 52,000 ",MASSAN
Thực phẩm và Bánh Trái,BDSS,Lộc Phát- Bí Đao Sương Sáo 500ml,Thùng," 182,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CĐXL,Lộc Phát-Cháo Đậu Xanh Ly 24ly/Thùng,Thùng," 165,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CĐXT,Lộc Phát- Cháo Sườn Hầm Đ.Xanh 50gx50gói/thùng,Thùng," 258,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CĐXT1,Lộc Phát- Cháo Đậu Xanh 30gói/thùng,Thùng," 155,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CKIDT,Lộc Phát- Cháo YẾN  KID IQ 30gói/Thùng,Thùng," 205,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CTBL,Lộc Phát-Cháo Thịt Bằm Ly 24Ly/thùng,Thùng," 114,000 ",LỘC PHÁT
